width,height
576, 416
496, 368
288, 416
288, 432
320, 480
576, 416
576, 416
576, 416
576, 416
640, 464
288, 432
288, 416
320, 480
576, 416
640, 480
576, 416
640, 480
320, 480
288, 432
320, 480
288, 416
288, 416
640, 464
576, 416
320, 480
320, 480
256, 379
576, 416
576, 432
288, 432
320, 480
288, 416
288, 416
640, 480
288, 416
288, 416
288, 416
576, 416
576, 416
288, 432
288, 432
312, 352
312, 352
288, 416
576, 432
288, 432
312, 352
288, 432
576, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
576, 432
576, 416
576, 416
288, 432
288, 416
288, 416
288, 432
288, 416
288, 416
288, 416
288, 432
576, 432
288, 432
576, 416
576, 416
576, 416
288, 432
288, 432
288, 416
288, 416
288, 416
288, 416
288, 416
288, 416
288, 416
288, 416
576, 416
288, 416
256, 284
288, 416
576, 416
288, 416
288, 416
288, 416
288, 416
288, 416
288, 416
288, 416
288, 416
288, 416
576, 416
576, 416
288, 416
576, 416
576, 416
288, 416
288, 416
288, 416
288, 416
288, 416
576, 416
576, 416
576, 416
576, 416
576, 416
288, 416
288, 416
288, 416
576, 416
576, 416
288, 416
288, 416
576, 416
288, 416
288, 416
288, 416
288, 416
576, 416
576, 416
576, 416
576, 416
576, 416
288, 416
288, 416
576, 416
288, 432
288, 416
288, 416
288, 416
288, 416
640, 480
640, 480
576, 416
576, 416
256, 379
320, 480
288, 416
320, 480
320, 464
288, 416
320, 464
496, 368
496, 368
640, 480
640, 480
256, 379
320, 480
320, 480
320, 480
320, 480
288, 416
288, 416
312, 352
288, 416
320, 464
288, 416
320, 464
576, 416
320, 464
288, 416
320, 464
288, 416
288, 416
320, 464
288, 416
288, 416
288, 416
288, 416
288, 416
576, 416
320, 464
288, 416
288, 416
288, 416
288, 416
288, 416
288, 416
320, 464
288, 416
288, 432
576, 416
512, 384
288, 432
512, 384
512, 384
576, 432
256, 379
288, 416
576, 432
576, 432
576, 432
288, 432
576, 432
288, 416
288, 432
512, 384
288, 432
576, 432
288, 432
576, 432
512, 384
576, 432
576, 416
288, 416
320, 480
640, 480
640, 480
320, 480
312, 352
288, 432
640, 480
256, 384
640, 480
320, 480
640, 480
320, 480
320, 480
312, 352
576, 432
256, 384
288, 432
288, 432
288, 432
320, 480
320, 480
312, 352
640, 480
312, 352
624, 352
256, 384
320, 480
640, 480
320, 480
288, 432
624, 352
624, 352
624, 352
576, 432
624, 352
624, 352
640, 464
312, 352
312, 352
312, 352
312, 352
288, 432
288, 432
312, 352
312, 352
320, 464
288, 432
288, 432
320, 480
512, 384
288, 432
312, 352
288, 432
256, 384
288, 432
512, 384
256, 384
288, 432
576, 432
320, 480
640, 480
256, 384
256, 384
256, 384
312, 352
576, 432
256, 384
256, 384
312, 352
256, 384
288, 432
288, 432
256, 384
576, 432
512, 384
256, 384
576, 432
576, 416
288, 428
576, 416
256, 384
256, 384
256, 384
288, 416
576, 416
320, 352
640, 480
320, 480
320, 352
320, 352
576, 432
288, 432
288, 432
288, 432
624, 352
312, 352
288, 432
624, 352
312, 352
640, 480
320, 480
312, 352
320, 480
320, 480
288, 432
288, 432
576, 432
288, 432
288, 432
288, 432
288, 432
576, 416
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
576, 432
288, 432
576, 432
576, 432
288, 432
576, 432
576, 432
576, 432
576, 432
576, 432
576, 432
576, 432
576, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
360, 528
288, 432
288, 432
624, 352
624, 352
640, 480
320, 480
288, 432
288, 432
288, 432
720, 528
720, 528
720, 528
288, 416
288, 432
576, 432
288, 432
288, 432
288, 432
576, 432
288, 432
288, 432
288, 416
288, 432
360, 528
576, 432
360, 528
288, 432
360, 528
720, 528
288, 416
288, 432
720, 528
720, 528
576, 432
320, 480
320, 480
320, 480
544, 400
576, 416
576, 416
576, 416
288, 416
288, 416
320, 480
320, 480
320, 480
256, 379
640, 464
320, 464
640, 480
576, 416
640, 480
320, 480
320, 480
320, 480
320, 480
320, 480
320, 480
320, 480
496, 368
320, 480
320, 480
640, 480
640, 480
640, 480
640, 480
320, 480
320, 480
640, 480
320, 480
320, 480
320, 480
640, 480
576, 428
320, 480
496, 368
640, 480
640, 480
640, 480
640, 480
320, 480
320, 480
320, 480
320, 480
320, 480
512, 384
256, 384
256, 384
320, 480
512, 384
496, 368
496, 368
576, 416
288, 416
288, 416
288, 416
288, 416
288, 416
312, 352
312, 352
312, 352
312, 352
312, 352
576, 432
576, 432
288, 432
288, 432
288, 432
288, 432
288, 432
312, 352
576, 432
576, 432
576, 432
288, 432
288, 432
288, 432
288, 432
288, 432
624, 352
320, 480
320, 480
624, 352
312, 352
624, 352
312, 352
624, 352
624, 352
624, 352
624, 352
624, 352
624, 352
320, 480
312, 352
288, 432
576, 416
576, 432
576, 416
576, 416
288, 432
288, 432
288, 432
288, 432
576, 432
576, 432
288, 432
288, 432
288, 432
576, 432
288, 432
288, 432
288, 432
288, 432
576, 432
288, 432
288, 432
288, 432
288, 432
576, 432
288, 432
288, 432
288, 416
576, 432
576, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
288, 432
576, 432
288, 432
576, 432
576, 432
288, 416
576, 416
288, 416
576, 416
576, 416
288, 416
576, 416
288, 416
288, 416
288, 416
576, 416
576, 416
288, 416
288, 416
288, 416
320, 480
640, 480
